amfi_code,alpha,beta
100016,0.02,1.05
100025,0.02,1.05
100033,0.02,1.05
101206,0.02,1.05
101207,0.02,1.05
101208,0.02,1.05
102885,0.02,1.05
102886,0.02,1.05
102887,0.02,1.05
118632,0.02,1.05
118633,0.02,1.05
118634,0.02,1.05
118635,0.02,1.05
118636,0.02,1.05
119092,0.02,1.05
119093,0.02,1.05
119094,0.02,1.05
119095,0.02,1.05
119120,0.02,1.05
119551,0.02,1.05
119552,0.02,1.05
119598,0.02,1.05
119599,0.02,1.05
120503,0.02,1.05
120504,0.02,1.05
120505,0.02,1.05
120506,0.02,1.05
120507,0.02,1.05
120841,0.02,1.05
120842,0.02,1.05
120843,0.02,1.05
120844,0.02,1.05
125497,0.02,1.05
125498,0.02,1.05
148567,0.02,1.05
148568,0.02,1.05
148569,0.02,1.05
149322,0.02,1.05
149323,0.02,1.05
149324,0.02,1.05
